id,uuid,observed_on,time_observed_at,created_at,quality_grade,license,url,image_url,captive_cultivated,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
256972165,20147814-281f-479a-9f29-d37ff1c08083,2025-01-01,2025-01-01 06:17:29 UTC,2025-01-01 06:18:36 UTC,research,,https://www.inaturalist.org/observations/256972165,https://static.inaturalist.org/photos/460872341/medium.jpg,false,41.2840916667,-75.9689116667,Brown Marmorated Stink Bug,Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,81923
257019958,10bdca0a-2462-466b-96ec-138d070e9b6a,2025-01-01,2025-01-01 17:05:00 UTC,2025-01-01 17:21:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257019958,https://inaturalist-open-data.s3.amazonaws.com/photos/460968997/medium.jpeg,false,39.986497087,-75.2646471356,American Winter Ant,Prenolepis imparis,American Winter Ant,Insecta,68142
257020592,9bc8ba6c-d7d8-4c97-a987-15829d3e01f6,2025-01-01,2025-01-01 15:42:47 UTC,2025-01-01 17:27:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/257020592,https://inaturalist-open-data.s3.amazonaws.com/photos/460970172/medium.jpeg,false,41.13320581,-75.26952128,Hemlock Woolly Adelgid,Adelges tsugae,Hemlock Woolly Adelgid,Insecta,61513
257030206,c1773967-e674-491e-ad6b-da41f7ed6ef3,2025-01-01,2025-01-01 19:05:59 UTC,2025-01-01 19:06:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257030206,https://inaturalist-open-data.s3.amazonaws.com/photos/460990281/medium.jpg,false,40.3811177781,-80.0893087639,Spotted Lanternfly,Lycorma delicatula,Spotted Lanternfly,Insecta,324726
257031856,4818c259-cb20-4b0f-bf7f-59435c642926,2025-01-01,2025-01-01 19:20:28 UTC,2025-01-01 19:22:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257031856,https://inaturalist-open-data.s3.amazonaws.com/photos/460993246/medium.jpg,false,40.3796055867,-80.0855183882,American Winter Ant,Prenolepis imparis,American Winter Ant,Insecta,68142
257044116,60f195f7-90a2-4d61-bd78-a0cc6c9ef209,2025-01-01,2025-01-01 21:20:45 UTC,2025-01-01 21:21:46 UTC,research,,https://www.inaturalist.org/observations/257044116,https://static.inaturalist.org/photos/461018674/medium.jpeg,false,40.89981041,-79.92709001,Brown Marmorated Stink Bug,Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,81923
257050467,93b6e3a5-dfb7-4db5-a404-a64d467e4b10,2025-01-01,2025-01-01 20:21:31 UTC,2025-01-01 22:16:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/257050467,https://static.inaturalist.org/photos/461031645/medium.jpeg,false,40.1084903158,-76.9238156453,Spotted Lanternfly,Lycorma delicatula,Spotted Lanternfly,Insecta,324726
257051918,24b2f05c-3963-4b36-be46-a36cb50991b7,2025-01-01,2025-01-01 21:03:02 UTC,2025-01-01 22:29:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257051918,https://inaturalist-open-data.s3.amazonaws.com/photos/461034889/medium.jpg,false,41.18278,-77.0441666667,Hemlock Woolly Adelgid,Adelges tsugae,Hemlock Woolly Adelgid,Insecta,61513
257054098,17989062-0fef-40d4-8342-0ffefacdc2de,2025-01-01,2025-01-01 22:40:08 UTC,2025-01-01 22:48:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257054098,https://inaturalist-open-data.s3.amazonaws.com/photos/461040187/medium.jpg,false,40.21837,-75.8085333333,Brown Marmorated Stink Bug,Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,81923
257160052,cb3829a7-5b03-48b5-bfb8-50a7d5a868d6,2025-01-02,2025-01-02 19:24:15 UTC,2025-01-02 20:40:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257160052,https://inaturalist-open-data.s3.amazonaws.com/photos/461255250/medium.jpg,false,40.3275528141,-80.0063990208,Proper Platynus Beetle,Platynus decentis,Proper Platynus Beetle,Insecta,957679
257162681,2442acd8-cb9a-4d4e-9275-4ac3e0492f01,2025-01-02,2025-01-02 21:07:59 UTC,2025-01-02 21:10:58 UTC,research,CC-BY,https://www.inaturalist.org/observations/257162681,https://inaturalist-open-data.s3.amazonaws.com/photos/461261330/medium.jpg,false,40.310695,-77.1799,Indian-Meal Moth,Plodia interpunctella,Indian-Meal Moth,Insecta,124184
257244358,55efafa3-21b1-4bdd-8ed4-ca5bb91ae7e6,2025-01-03,2025-01-03 13:10:34 UTC,2025-01-03 15:25:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257244358,https://inaturalist-open-data.s3.amazonaws.com/photos/461424577/medium.jpeg,false,41.2507311,-76.0476192997,Organ-pipe Mud-dauber Wasp,Trypoxylon politum,Organ-pipe Mud-dauber Wasp,Insecta,84844
257248876,f2842c31-17c4-4cac-b644-daaaa288ac39,2025-01-03,2025-01-03 13:11:04 UTC,2025-01-03 16:18:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257248876,https://inaturalist-open-data.s3.amazonaws.com/photos/461434211/medium.jpeg,false,41.2507240997,-76.0476227,Spongy Moth,Lymantria dispar,Spongy Moth,Insecta,47802
257310545,3f6064b1-ddfe-4624-9708-f151e76934b5,2025-01-03,2025-01-03 20:18:59 UTC,2025-01-04 03:55:36 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/257310545,https://inaturalist-open-data.s3.amazonaws.com/photos/461596554/medium.jpg,false,41.116013602,-76.6647820679,Hackberry Petiole Gall Psyllid,Pachypsylla venusta,Hackberry Petiole Gall Psyllid,Insecta,326137
257405064,61654d86-6227-4754-bba8-b353147d7f33,2025-01-04,2025-01-04 21:45:35 UTC,2025-01-04 23:00:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/257405064,https://inaturalist-open-data.s3.amazonaws.com/photos/461744684/medium.jpg,false,40.4389690822,-79.9476122358,Longhorn Crazy Ant,Paratrechina longicornis,Longhorn Crazy Ant,Insecta,69388
